benchmark,run,result,removed instructions,percent removed
clobber,lvn_liveness,2,8,0.8
clobber-fold,lvn_liveness,2,8,0.8
double,lvn_liveness,2,4,0.6666666666666666
redundant,lvn_liveness,2,4,0.6666666666666666
redundant-dce,lvn_liveness,2,4,0.6666666666666666
simple,lvn_liveness,2,3,0.6
nonlocal,lvn_liveness,3,4,0.5714285714285714
rename-fold,lvn_liveness,4,3,0.4285714285714285
idchain,lvn_liveness,3,2,0.4
reassign,lvn_liveness,2,1,0.3333333333333333
clobber-arg,liveness,2,1,0.3333333333333333
clobber,liveness,7,3,0.3
clobber-fold,liveness,7,3,0.3
cond,lvn_liveness,7,2,0.2222222222222222
cond,liveness,7,2,0.2222222222222222
simple,liveness,4,1,0.2
double,liveness,5,1,0.1666666666666666
diamond,liveness,5,1,0.1666666666666666
diamond,lvn_liveness,5,1,0.1666666666666666
rename-fold,liveness,6,1,0.1428571428571428
pow,liveness,34,2,0.0555555555555555
eight-queens,liveness,959702,46752,0.0464521975172238
binary-search,liveness,75,3,0.0384615384615384
armstrong,liveness,130,3,0.0225563909774436
armstrong,lvn_liveness,130,3,0.0225563909774436
palindrome,liveness,295,3,0.0100671140939597
loopfact,liveness,115,1,0.0086206896551724
fib,lvn_liveness,120,1,0.0082644628099173
sieve,liveness,3454,28,0.0080413555427915
csrmv,liveness,120652,550,0.0045378789128892
mod_inv,liveness,556,2,0.003584229390681
birthday,liveness,483,1,0.0020661157024793
euclid,liveness,562,1,0.0017761989342806
bitwise-ops,liveness,1688,2,0.0011834319526627
bitwise-ops,lvn_liveness,1688,2,0.0011834319526627
sum-sq-diff,liveness,3036,2,0.0006583278472679
adler32,lvn_liveness,6851,0,0.0
adler32,lvn_pass,6851,0,0.0
ackermann,liveness,1464231,0,0.0
ackermann,baseline,1464231,0,0.0
ackermann,lvn_pass,1464231,0,0.0
ackermann,lvn_liveness,1464231,0,0.0
adler32,liveness,6851,0,0.0
adler32,baseline,6851,0,0.0
adj2csr,baseline,56629,0,0.0
adj2csr,liveness,56629,0,0.0
collatz,liveness,169,0,0.0
collatz,baseline,169,0,0.0
clobber-fold,lvn_pass,10,0,0.0
clobber-fold,baseline,10,0,0.0
clobber-arg,lvn_pass,3,0,0.0
cholesky,baseline,3761,0,0.0
clobber,lvn_pass,10,0,0.0
clobber-arg,baseline,3,0,0.0
check-primes,baseline,8468,0,0.0
cordic,baseline,517,0,0.0
conjugate-gradient,liveness,1999,0,0.0
dead-branch,baseline,1196,0,0.0
csrmv,baseline,121202,0,0.0
conjugate-gradient,baseline,1999,0,0.0
cond,baseline,9,0,0.0
cond,lvn_pass,9,0,0.0
armstrong,lvn_pass,133,0,0.0
armstrong,baseline,133,0,0.0
catalan,baseline,659378,0,0.0
catalan,liveness,659378,0,0.0
bubblesort,baseline,253,0,0.0
clobber,baseline,10,0,0.0
catalan,lvn_pass,659378,0,0.0
bubblesort,liveness,253,0,0.0
catalan,lvn_liveness,659378,0,0.0
bitwise-ops,baseline,1690,0,0.0
bitwise-ops,lvn_pass,1690,0,0.0
bitshift,liveness,167,0,0.0
birthday,baseline,484,0,0.0
bitshift,baseline,167,0,0.0
binary-search,baseline,78,0,0.0
binary-fmt,baseline,100,0,0.0
fact,liveness,62,0,0.0
fact,baseline,62,0,0.0
euler,baseline,1908,0,0.0
euclid,baseline,563,0,0.0
double,lvn_pass,6,0,0.0
eight-queens,baseline,1006454,0,0.0
double,baseline,6,0,0.0
dot-product,lvn_pass,88,0,0.0
dot-product,baseline,88,0,0.0
digital-root,liveness,247,0,0.0
dot-product,liveness,88,0,0.0
dot-product,lvn_liveness,88,0,0.0
diamond,baseline,6,0,0.0
dead-branch,liveness,1196,0,0.0
diamond,lvn_pass,6,0,0.0
digital-root,baseline,247,0,0.0
gcd,lvn_pass,46,0,0.0
gcd,lvn_liveness,46,0,0.0
hanoi,lvn_liveness,99,0,0.0
hanoi,baseline,99,0,0.0
hanoi,lvn_pass,99,0,0.0
idchain,baseline,5,0,0.0
idchain,liveness,5,0,0.0
fact,lvn_liveness,62,0,0.0
fitsinside,liveness,10,0,0.0
fitsinside,lvn_liveness,10,0,0.0
fitsinside,lvn_pass,10,0,0.0
fizz-buzz,baseline,3652,0,0.0
fib,baseline,121,0,0.0
fib,liveness,121,0,0.0
factors,baseline,72,0,0.0
fact,lvn_pass,62,0,0.0
mat-inv,baseline,1044,0,0.0
mandelbrot,baseline,2720947,0,0.0
major-elm,liveness,47,0,0.0
major-elm,baseline,47,0,0.0
max-subarray,liveness,193,0,0.0
mat-inv,liveness,1044,0,0.0
max-subarray,baseline,193,0,0.0
mat-mul,baseline,1990407,0,0.0
n_root,lvn_liveness,733,0,0.0
n_root,lvn_pass,733,0,0.0
newton,baseline,217,0,0.0
newton,liveness,217,0,0.0
newton,lvn_liveness,217,0,0.0
mod_inv,baseline,558,0,0.0
n_root,baseline,733,0,0.0
n_root,liveness,733,0,0.0
nonlocal,liveness,7,0,0.0
nonlocal,baseline,7,0,0.0
newton,lvn_pass,217,0,0.0
norm,baseline,505,0,0.0
norm,liveness,505,0,0.0
orders,baseline,5352,0,0.0
orders,liveness,5352,0,0.0
hanoi,liveness,99,0,0.0
idchain,lvn_pass,5,0,0.0
is-decreasing,baseline,127,0,0.0
lcm,baseline,2326,0,0.0
loopfact,baseline,116,0,0.0
gcd,baseline,46,0,0.0
gcd,liveness,46,0,0.0
fib,lvn_pass,121,0,0.0
fitsinside,baseline,10,0,0.0
primes-between,baseline,574100,0,0.0
pow,baseline,36,0,0.0
perfect,lvn_pass,232,0,0.0
perfect,lvn_liveness,232,0,0.0
perfect,baseline,232,0,0.0
perfect,liveness,232,0,0.0
pascals-row,baseline,146,0,0.0
palindrome,baseline,298,0,0.0
nonlocal,lvn_pass,7,0,0.0
ray-sphere-intersection,baseline,142,0,0.0
reassign,baseline,3,0,0.0
ray-sphere-intersection,liveness,142,0,0.0
quicksort-hoare,baseline,27333,0,0.0
primitive-root,baseline,11029,0,0.0
quadratic,baseline,785,0,0.0
pythagorean_triple,baseline,61518,0,0.0
rectangles-area-difference,baseline,14,0,0.0
recfact,baseline,104,0,0.0
reassign,lvn_pass,3,0,0.0
reassign,liveness,3,0,0.0
redundant,liveness,6,0,0.0
redundant,lvn_pass,6,0,0.0
redundant,baseline,6,0,0.0
rectangles-area-difference,liveness,14,0,0.0
redundant-dce,liveness,6,0,0.0
redundant-dce,baseline,6,0,0.0
relative-primes,baseline,1923,0,0.0
redundant-dce,lvn_pass,6,0,0.0
quickselect,liveness,279,0,0.0
quicksort,baseline,264,0,0.0
quicksort,liveness,264,0,0.0
quickselect,baseline,279,0,0.0
reverse,liveness,46,0,0.0
reverse,baseline,46,0,0.0
rename-fold,lvn_pass,7,0,0.0
rename-fold,baseline,7,0,0.0
riemann,lvn_pass,298,0,0.0
riemann,lvn_liveness,298,0,0.0
sieve,baseline,3482,0,0.0
riemann,baseline,298,0,0.0
simple,baseline,5,0,0.0
simple,lvn_pass,5,0,0.0
skipped,baseline,4,0,0.0
sqrt,baseline,322,0,0.0
sum-bits,baseline,73,0,0.0
sum-bits,liveness,73,0,0.0
sum-bits,lvn_liveness,73,0,0.0
riemann,liveness,298,0,0.0
sum-bits,lvn_pass,73,0,0.0
sum-check,baseline,5018,0,0.0
sum-check,lvn_liveness,5018,0,0.0
sum-check,liveness,5018,0,0.0
sum-check,lvn_pass,5018,0,0.0
sum-divisors,baseline,159,0,0.0
sum-divisors,liveness,159,0,0.0
sum-sq-diff,baseline,3038,0,0.0
totient,baseline,253,0,0.0
two-sum,baseline,98,0,0.0
up-arrow,baseline,252,0,0.0
up-arrow,liveness,252,0,0.0
up-arrow,lvn_liveness,252,0,0.0
up-arrow,lvn_pass,252,0,0.0
vsmul,baseline,86036,0,0.0
vsmul,liveness,86036,0,0.0
